专门知识，专长 expertise
（使）混合，（使）混杂 blend
真菌，霉菌 fungus
弹力，弹性 elasticity
潮湿，湿润 moisture
重力；严重性；严肃 gravity
结实的，强壮的；肥胖的 stout
同意，赞成 assent
奇形怪状的，古怪可笑的，怪诞的 bizarre
自负；自大 conceit
耕种，务农，农牧业 husbandry
深不可测的；极坏的，糟透的 abysmal
轻蔑，鄙视 scorn
安静的，平静的 tranquil
突然行动（n）；猛扑；突然袭击 swoop
拳打；打孔 punch
混合；交往 mingle
间歇，过渡期间；暂时的，过度的 interim
值得赞美，值得称赞的 laudable
招致，招惹。遭受 incur
借口，托词 pretext
复制品 replica
包围，围困；封锁 siege
猛冲，猛扑 lunge
地下室，地窖 basement
天然的，未提炼的，粗糙的 crude
嘲弄，讥笑 gibe
社会；社团 community
弄上斑点，点缀；斑点，色斑 speckle
忙于；海狸 beaver
污染物质，有害物质 pollutant
嘲笑的，讥讽的 sardonic
实用的 pratical
圆形的，环形的 circular
（使）失望 disappoint
游牧的，流浪的 nomadic
柔软的 soft
天赋 talent
授予 confer
不断的 incessantly
运动场，竞走场 stadium
预算 budget 
支配，统治 dominate
智力，智慧 intelligence
最后通牒 ultimatum
个性，性格 personality
减少 decrease
出身背景；社会环境 milieu
讽刺的，嘲讽的 satiric
炼金术士 alchemist
未驯服的，难驾驭的 untamed
n 散布，扩散；传播 diffusion
涌，流 stream
快速帆船，剪刀 clipper
对等物，等价物 equivalent
磨损；争斗（n）fray
多产的，富有创造力的 prolific
革命，巨变 revolution
螃蟹 crab
栖居于 inhabit
(人体)组织 tissue
在......之前，先于 precede
迅速成长；蘑菇 mushroom
倦怠的，没精打采的 listless
一段路程；延伸 stretch
充电，修整 recharge
刷洗；马夫，新郎 groom
模糊的，黯淡的 dim
量化 quantify
公平的，公正的 equitable
赏识 appreciate
神经元 neuron
耀眼的光；怒目而视 glare
沼泽，湿地 marsh
污秽的，肮脏的 foul
日食，月食；使......相形见绌 eclipse
刺激，动机 incentive
命令，指挥 command
刺穿，挫伤 puncture
腐蚀性的 corrosive
挑剔的，难以取悦的 picky
渡鸦；乌黑的 raven
持久的 durable
批准 approve
草草记下，匆匆记下 jot
谨慎的；深谋远虑的 prudent
正式批准 ratify
运动员 athelete
思想体系 ideology
刺激，鼓舞，促进 spur
恶行；副 vice
牡蛎 oyster
有争议的 debatable
